Episode 1 succeeded in 76 steps with score 572... epsilon [0.463962791451191, 0.4644270095242824, 0.4647057632856827, 0.466475093251877, 0.4699399864822028, 0.4766134110444312, 0.4876543464052129, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5] ... training False
Episode 6 succeeded in 93 steps with score 704... epsilon [0.4566894265716762, 0.45714636727793684, 0.4574207511246467, 0.45916234399063915, 0.4625729194325623, 0.46914172730411746, 0.48000957820000306, 0.4984024775217971, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5] ... training False
Episode 5 succeeded in 88 steps with score 680... epsilon [0.45595927126081054, 0.45641548141001415, 0.4566894265716762, 0.45842823497801966, 0.461833357590017, 0.46839166324786974, 0.4792421386176589, 0.49800389506456644, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5] ... training False
Episode 8 succeeded in 103 steps with score 972... epsilon [0.4535489595739231, 0.45400275808523793, 0.4542752551060982, 0.4560048717479853, 0.4593919940530599, 0.465915630910935, 0.4767087480269491, 0.4963134726454514, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5] ... training False
Episode 2 succeeded in 118 steps with score 1180... epsilon [0.44975491590164685, 0.45020491828173037, 0.4504751358009494, 0.45219028379300924, 0.45554907202371875, 0.462018137125627, 0.4727209672795968, 0.4929005272372689, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5] ... training False
Episode 7 succeeded in 127 steps with score 1084... epsilon [0.44701962526637273, 0.44746689085080926, 0.4477354649784306, 0.4494401818933082, 0.4527785428609272, 0.45920826481712085, 0.46984600318430625, 0.49049110209324154, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5] ... training False
Episode 9 succeeded in 130 steps with score 1240... epsilon [0.4469749233038461, 0.4474221441617242, 0.44769069143193274, 0.44939523787511887, 0.45273326500664113, 0.45916234399063915, 0.4697990185839878, 0.49044205298303223, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5] ... training False
Episode 0 succeeded in 128 steps with score 1284... epsilon [0.44688553278893456, 0.4473326642071133, 0.44760115777055326, 0.4493053633214963, 0.45264272288097246, 0.4590705161134645, 0.46970506347826124, 0.49034396947685616, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5] ... training False
Episode 3 succeeded in 134 steps with score 1296... epsilon [0.4463495649957469, 0.44679616015123214, 0.4470643316995427, 0.44876649332822544, 0.4520998502581535, 0.45851993437969624, 0.46914172730411746, 0.48975588023265243, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5] ... training False
Episode 4 succeeded in 139 steps with score 1312... epsilon [0.44585882589287934, 0.4463049300392473, 0.44657280674630484, 0.44827309693310413, 0.45160278900320566, 0.45801581456220186, 0.46862592935464015, 0.48921741804933716, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5] ... training False
Episode 10 succeeded in 251 steps with score 3040... epsilon [0.43476302301034303, 0.4352415494036353, 0.43550278575838186, 0.4372921022394337, 0.4409369139750687, 0.44778024300273084, 0.45980565364992737, 0.4820781670960488, 0.49532178813020167, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5] ... training False
Episode 11 succeeded in 205 steps with score 2452... epsilon [0.42589808386246497, 0.4264094939186904, 0.42670809999491904, 0.4285898465301338, 0.4324647598508055, 0.4398798814754233, 0.4525974586086844, 0.475661089244715, 0.4927526718656207, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5] ... training False
Episode 12 succeeded in 128 steps with score 1208... epsilon [0.42043901234107717, 0.42098596584799797, 0.4213229062261563, 0.4233502192018877, 0.4273914136262861, 0.4352415494036353, 0.44890115020670185, 0.47380953130217496, 0.4927526718656207, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5] ... training False
Episode 13 succeeded in 155 steps with score 1472... epsilon [0.4139307348873308, 0.4145106727753444, 0.41488391897905974, 0.41721390329325253, 0.42136504273042935, 0.42987761114007106, 0.443812483171753, 0.4711634814770491, 0.4927526718656207, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5] ... training False
Episode 14 succeeded in 148 steps with score 1528... epsilon [0.40780858411823506, 0.4084207866421479, 0.4088294321501045, 0.41124877681734523, 0.41567298725666524, 0.4243250941269956, 0.4391326836145404, 0.4685322088550285, 0.4927526718656207, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5] ... training False
Episode 15 succeeded in 149 steps with score 1460... epsilon [0.4017368039646895, 0.4023801295410594, 0.402823013369561, 0.4052878671564302, 0.4098528356227978, 0.419305301519643, 0.4348065036607091, 0.4663351647176878, 0.4927526718656207, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5] ... training False
Episode 16 succeeded in 130 steps with score 1260... epsilon [0.3965081130971955, 0.39718278393128226, 0.39769948316751674, 0.4002930795462459, 0.4052473383697146, 0.4147179903028438, 0.43185970257257195, 0.4658690393478439, 0.4927526718656207, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5] ... training False
Episode 17 succeeded in 159 steps with score 1596... epsilon [0.3902141545302602, 0.3909172077196967, 0.39142575600232976, 0.3942149081024918, 0.3994133588320994, 0.4099758160687539, 0.42816144949761287, 0.4625729194325623, 0.4927526718656207, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5] ... training False
